,Power (kW),Power-1 (kW),Temperature (°C),Humidity (%),Solar Radiation (W/m²),Hour of Day,Day of Week
2017-01-09 19:00:00,109.503897,137.936865,13.299166666666666,39.62583333333333,0.166,19,0
2017-01-09 20:00:00,86.9579745,109.503897,12.756666666666668,42.0675,0.1478333333333333,20,0
2017-01-09 21:00:00,61.995879,86.9579745,11.835833333333332,49.32,0.1520833333333333,21,0
2017-01-09 22:00:00,53.896958,61.995879,11.463333333333331,55.36333333333334,0.10825,22,0
2017-01-09 23:00:00,51.5478645,53.896958,11.935,48.42,0.1499166666666666,23,0
2017-01-10 00:00:00,49.276994,51.5478645,11.938333333333333,51.32666666666666,0.14525,0,1
2017-01-10 01:00:00,45.1195945,49.276994,11.6475,69.96166666666666,0.3138333333333333,1,1
2017-01-10 02:00:00,43.310196,45.1195945,11.424166666666666,72.95,0.32525,2,1
2017-01-10 03:00:00,43.251201,43.310196,11.413333333333334,74.78333333333333,0.3945833333333333,3,1
2017-01-10 04:00:00,43.0831745,43.251201,11.351666666666668,75.02499999999999,0.517,4,1
2017-01-10 05:00:00,48.229068,43.0831745,11.23,74.35000000000001,0.39925,5,1
2017-01-10 06:00:00,48.957984,48.229068,11.4075,73.11666666666666,0.3760833333333333,6,1
2017-01-10 07:00:00,91.4367875,48.957984,11.945,71.53333333333333,1.0200833333333332,7,1
2017-01-10 08:00:00,115.9341335,91.4367875,11.981666666666667,71.425,52.09166666666667,8,1
2017-01-10 09:00:00,126.422352,115.9341335,12.263333333333334,70.625,107.48333333333332,9,1
2017-01-10 10:00:00,226.8467,126.422352,12.800833333333332,68.22333333333334,191.89166666666665,10,1
2017-01-10 11:00:00,214.7459515,226.8467,13.693333333333332,65.35666666666667,398.2916666666667,11,1
2017-01-10 12:00:00,209.717174,214.7459515,14.151666666666666,65.615,476.5083333333334,12,1
2017-01-10 13:00:00,211.0161565,209.717174,14.705833333333333,59.12833333333333,434.3416666666667,13,1
2017-01-10 14:00:00,218.527094,211.0161565,13.883333333333333,65.1675,326.5,14,1
